"WaterProviderName","FIPS_ID","FIPS_ID_Flag","GNIS_ID","GNIS_ID_Flag","DOLA_LG_ID","DOLA_LG_ID_Flag","BNDSS_ID","BNDSS_ID_Flag","PWS_ID","PWS_ID_Flag","BusinessEntity_ID","BusinessEntity_ID_Flag","OWF_ID","OWF_ID_Flag","LocalGovtType","EntityStartYear","EntityStartYear_Flag","EntityEndYear","EntityEndYear_Flag","County_CSV","NumCounty","IBCC_Basin","Latitude","Longitude","Lat_Long_Flag","Website","Website_Flag","WaterEfficiencyPlan_URL","WaterForecast_URL","Comment"
"Black Hawk, City of",07025,G,2409856,G,24001,G,BlackHawk,G,CO0124147,G,,N,BlackHawk,G,Municipality,,x,,x,Gilpin,1,South Platte,39.804295,-105.494544,G,http://www.cityofblackhawk.org/,G,,,
Blanca/Fort Garland Metropolitan District,,N,,N,12002,G,BlancaFtGarlandMD,G,CO0212200,G,,N,BlancaFtGarlandMD,G,Metropolitan District,,x,,x,Costilla,1,,37.449399,-105.399040,G,,x,,,
Blue Mountain Water District,,N,,N,30010,G,BlueMtnWD,G,CO0130005,G,,N,BlueMtnWD,G,Water District,,x,,x,Jefferson,1,Metro,39.861952,-105.277168,G,,M,,,Not in the Covered Entities database
Blue Valley Metropolitan District,,N,,N,25001,G,BlueVlyMD,G,CO0125148,G,,N,BlueVlyMD,G,Metropolitan District,,x,,x,Grand,1,,39.925860,-106.339182,g1,,x,,,
Board of Water Works of Pueblo,62000,G,2411501,G,51016,G,PuebloBWW,G,CO0151500,G,,N,PuebloBWW,G,Municipality,,x,,x,Pueblo,1,,38.270629,-104.613054,G,https://pueblowater.org/,G,,,
"Bonanza City, Town of",07571,G,2411706,G,55002,G,,M,CO0079129,G,,N,BonanzaCity,C,Municipality,,x,,x,Saguache,1,,38.296619,-106.141869,G,,N,,,Not in the original BNDSS list
Bonvue Water and Sanitation District,,N,,N,30011,G,BonvueWSD,G,CO0130152,G,,N,BonvueWSD,G,Water and Sanitation District,,x,,x,Jefferson,1,Metro,39.716255,-105.102582,G,,M,,,Not in the Covered Entities database
"Boone, Town of",07795,G,2411709,G,51005,G,Boone,G,CO0151150,G,,N,Boone,G,Municipality,,x,,x,Pueblo,1,,38.249454,-104.258092,G,,N,,,
"Boulder, City of",07850,G,2409883,G,07006,G,Boulder,G,CO0107152,G,,N,Boulder,G,Municipality,,x,,x,Boulder,1,South Platte,40.027293,-105.251551,G,https://bouldercolorado.gov/,G,https://www-static.bouldercolorado.gov/docs/WEP_October_Final-1-201610180831.pdf,,
Bow Mar Water and Sanitation District,,N,,N,64027,G,BowMarWSD,G,CO0103153,G,,N,BowMarWSD,G,Water and Sanitation District,,x,,x,"Arapahoe, Jefferson",2,Metro,39.627801,-105.051112,G,http://www.bowmarwater.org/,G,None,,
"Branson, Town of",08345,G,2411720,G,36002,G,,M,CO0136300,G,,N,Branson,C,Municipality,,x,,x,Arkansas,1,,37.015493,-103.883777,G,,N,,,Not in the original BNDSS list
"Breckenridge, Town of",08400,G,2411722,G,59004,G,Breckenridge,G,CO0159020,G,,N,Breckenridge,G,Municipality,,x,,x,Summit,1,,39.499495,-106.043226,G,http://www.townofbreckenridge.com/,G,,,
"Brighton, City of",08675,G,2409911,G,64029,G,Brighton,G,CO0101025,G,,N,Brighton,G,Municipality,,x,,x,"Adams, Weld",2,Metro,39.971612,-104.796089,G,http://www.brightonco.gov/,G,http://www.brightonco.gov/DocumentCenter/View/10033,,
Brook Forest Water District,,N,,N,30012,G,BrookForestWD,G,CO0130010,G,,N,BrookForestWD,G,Water District,,x,,x,Jefferson,1,Metro,39.578496,-105.382042,G,www.brookforestwater.org,G,None,,Not in the Covered Entities database
Brookridge,,N,,N,,z,BrookridgeWS,G,,M,,N,BrookridgeWS,G,,,x,,x,,1,,,,z,,x,,,"Not in the Covered Entities database; not sure if still exists, may be Brookridge Heights WD"
"Brookside, Town of",09115,G,2411733,G,22001,G,Brookside,G,CO0122050,G,,N,Brookside,G,Municipality,,x,,x,Fremont,1,,38.413584,-105.191027,G,https://www.colorado.gov/townofbrookside,G,,,
"Broomfield, City and County of",09280,G,2409919,G,64030,G,Broomfield,G,CO0107155,G,,N,Broomfield,G,Municipality,,x,,x,Broomfield,1,South Platte,39.954161,-105.052589,G,https://www.broomfield.org/,G,None,,
"Brush, City of",09555,G,2409926,G,44001,G,Brush,G,CO0144001,G,,N,Brush,G,Municipality,,x,,x,Morgan,1,South Platte,40.258147,-103.632022,G,http://www.brushcolo.com/,G,,,
"Buena Vista, Town of",10105,G,2411739,G,08002,G,BuenaVista,G,CO0108300,G,,N,BuenaVista,G,Municipality,,x,,x,Chaffee,1,,38.831775,-106.139013,G,http://www.buenavistaco.gov/,G,,,
Buffalo Creek Water District,,N,,N,30146,G,BuffaloCreekWD,G,CO0130015,G,,N,BuffaloCreekWD,G,Water District,,x,,x,Jefferson,1,South Platte,39.384750,-105.269526,G,,M,None,,
"Burlington, City of",10600,G,2409946,G,32004,G,Burlington,G,CO0132005,G,,N,Burlington,G,Municipality,,x,,x,Kit Carson,1,South Platte,39.304205,-102.271483,G,http://www.burlingtoncolo.com/,G,,,
"Calhan, Town of",11260,G,2413149,G,21006,G,,M,CO0121075,G,,N,Calhan,C,Municipality,,x,,x,El Paso,1,,39.034657,-104.300010,G,http://www.calhan.co/,G,,,Not in the original BNDSS list
"Campo, Town of",11645,G,2413155,G,05003,G,Campo,G,CO0105100,G,,N,Campo,G,Municipality,,x,,x,Baca,1,,37.104712,-102.578798,G,https://townofcampo.co/,G,,,
"Canon City, City of",11810,G,2409976,G,22002,G,CanonCity,G,CO0122100,G,,N,CanonCity,G,Municipality,,x,,x,Fremont,1,,38.443058,-105.220215,G,http://www.canoncity.org/,G,,,
"Carbondale, Town of",12045,G,2413166,G,23004,G,Carbondale,G,CO0123167,G,,N,Carbondale,G,Municipality,,x,,x,Garfield,1,,39.394898,-107.214687,G,http://www.carbondalegov.org/,G,,,
Cascade Metropolitan District 1,,N,,N,65308,G,CascadeMD1,G,CO0121100,G,,N,CascadeMD1,G,Metropolitan District,,x,,x,El Paso,1,,38.892486,-104.976573,G,,x,,,Not in the Covered Entities database
Cascade Metropolitan District 2,,N,,N,65309,G,CascadeMD2,G,,M,,N,CascadeMD2,G,Metropolitan District,,x,,x,El Paso,1,,38.905256,-104.961965,G,,x,,,Not in the Covered Entities database
Castle Pines Metropolitan District,,N,,N,18001,G,CastlePinesMD,G,CO0118005,G,,N,CastlePinesMD,G,Metropolitan District,,x,,x,Douglas,1,Metro,39.441474,-104.898042,G,www.castlepinesmetro.com,G,,,
Castle Pines North Metropolitan District,,N,,N,18044,G,CastlePinesNMD,G,CO0118006,G,,N,CastlePinesNMD,G,Metropolitan District,,x,,x,Douglas,1,Metro,39.473849,-104.898500,G,http://cpnmd.org/,G,,,
"Castle Rock, Town of",12415,G,2413179,G,18003,G,CastleRock,G,CO0118010,G,,N,CastleRock,G,Municipality,,x,,x,Douglas,1,Metro,39.376152,-104.853344,G,http://crgov.com/,G,http://crgov.com/DocumentCenter/View/592,,
Castleton Center Water and Sanitation District,,N,,N,18004,G,CastletonCntrWSD,G,,M,,N,CastletonCntrWSD,G,Water and Sanitation District,,x,,x,Douglas,1,Metro,39.408379,-104.870994,G,,M,None,,
Castlewood Water and Sanitation District,,N,,N,65156,G,CastlewoodWSD,G,CO0103166,G,,N,CastlewoodWSD,G,Water and Sanitation District,,x,,x,Arapahoe,1,Metro,39.605655,-104.877791,G,,M,None,,
Catamount Metropolitan District,,N,,N,54033,G,LakeCatamount1MD,G,,M,,N,LakeCatamount1MD,G,Metropolitan District,,x,,x,Routt,1,,40.363712,-106.809543,G,www.catamountmetro.org,G,,,Former name was Lake Catmount No. 2 Metropolitan District
"Cedaredge, Town of",12635,G,2413184,G,15003,G,Cedaredge,G,CO0115171,G,,N,Cedaredge,G,Municipality,,x,,x,Delta,1,,38.894113,-107.925460,G,http://www.cedaredgecolorado.com/,G,,,
Centennial Water and Sanitation District,,N,,N,18025,G,CentennialWSD,G,CO0118015,G,,N,CentennialWSD,G,Water and Sanitation District,,x,,x,Douglas,1,Metro,39.557400,-105.024754,G,www.centennialwater.org,G,http://centennialwater.org/wp-content/uploads/2016/11/2016-Water-Efficiency-Plan_Final.pdf,,
"Center, Town of",12855,G,2413186,G,64039,G,Center,G,CO0155500,G,,N,Center,G,Municipality,,x,,x,"Rio Grande, Saguache",2,,37.751340,-106.110833,G,http://www.centerco.gov/,G,,,
"Central City, City of",12910,G,2409427,G,64263,G,CentralCity,G,CO0124171,G,,N,CentralCity,G,Municipality,,x,,x,"Clear Creek, Gilpin",2,South Platte,39.797462,-105.516892,G,https://www.colorado.gov/centralcity,G,,,
Central Weld County Water District,,N,,N,62005,G,CWCWD,G,CO0162122,G,,N,CWCWD,G,Water District,,x,,x,Weld,1,South Platte,40.274417,-104.715642,G,www.cwcwd.com,G,None,,
Charlou Park Water District,,N,,N,03083,G,CharlouWD,G,CO0103020,G,,N,CharlouWD,G,Water District,,x,,x,Arapahoe,1,Metro,39.634071,-104.920326,G,,M,None,,Not in the Covered Entities database
Chatfield South Water District,,N,,N,18108,G,,M,CO0118175,G,,N,ChatfieldSouthWD,C,Water District,,x,,x,Douglas,1,Metro,39.516212,-105.055301,G,https://www.colorado.gov/pacific/cswd/about-us-0,G,None,,Not in the original BNDSS list
"Cheraw, Town of",13460,G,2413193,G,45001,G,Cheraw,G,CO0145090,G,,N,Cheraw,G,Municipality,,x,,x,Otero,1,,38.107573,-103.511052,G,,N,,,
Cherokee Metropolitan District,,N,,N,21010,G,CherokeeMD,G,CO0121125,G,,N,CherokeeMD,G,Metropolitan District,,x,,x,El Paso,1,,38.844101,-104.650437,G,www.cherokeemetro.org,G,,,Former name was Cherokee Water and Sanitation District
Cherry Creek Valley Water and Sanitation District,,N,,N,03105,G,CherryCreekVlyWSD,G,CO0116175,G,,N,CherryCreekVlyWSD,G,Water and Sanitation District,,x,,x,Arapahoe,1,Metro,39.680373,-104.887358,G,www.ccvwater.org,G,,,
Cherry Creek Village Water District,,N,,N,03014,G,CherryCreekVlgWD,G,CO0103176,G,,N,CherryCreekVlgWD,G,Water District,,x,,x,Arapahoe,1,Metro,39.630543,-104.880157,G,https://www.colorado.gov/cherrycreekvillagewaterdistrict,G,None,,
Cherry Hills Farm Metropolitan District,,N,,N,,z,CherryHillsFarmWS,G,CO0116177,G,,N,CherryHillsFarmWS,G,Metropolitan District,,x,,x,Arapahoe,1,Metro,39.641654,-104.959425,g1,,M,None,,Not in the Covered Entities database
Cherry Hills Heights Water and Sanitation District,,N,,N,03018,G,CherryHlsHtsWSD,G,CO0103178,G,,N,CherryHlsHtsWSD,G,Water and Sanitation District,,x,,x,Arapahoe,1,Metro,39.655029,-104.956895,G,,M,None,,Not in the Covered Entities database
Cherry Hills North Metropolitan District,,N,,N,03019,G,CherryHlsNMD,G,CO0116179,G,,N,CherryHlsNMD,G,Metropolitan District,,x,,x,Arapahoe,1,Metro,39.644041,-104.927229,G,http://chnorthmetro.us/,G,None,,Not in the Covered Entities database; former name was Cherry Hills North Water and Sanitation District
"Cherry Hills Village, City of",13845,G,2409443,G,03023,G,CherryHlsVlg,G,,M,,N,CherryHlsVlg,G,Municipality,,x,,x,Arapahoe,1,Metro,39.637547,-104.948028,G,https://www.cherryhillsvillage.com/,G,,,
Cherrymoor Water,,N,,N,,z,CherrymoorWS,G,CO0116181,G,,N,CherrymoorWS,G,Water District,,x,,x,Denver,1,Metro,39.625995,-104.971847,g1,,M,None,,Not in the Covered Entities database
"Cheyenne Wells, Town of",14175,G,2413197,G,09007,G,,M,CO0109006,G,,N,CheyenneWells,C,Municipality,,x,,x,Cheyenne,1,South Platte,38.819202,-102.352030,G,http://townofcheyennewells.com/,G,,,Not in the original BNDSS list
Chipeta Water District,,N,,N,43025,G,ChipetaWD,G,CO0143176,G,,N,ChipetaWD,G,Water District,,x,,x,Montrose,1,,38.459717,-107.946108,G,http://www.chipetawater.org/,G,,,
Clifton Water District,,N,,N,39008,G,CliftonWD,G,CO0139180,G,,N,CliftonWD,G,Water District,,x,,x,Mesa,1,,39.065047,-108.454120,G,www.cliftonwaterdistrict.org,G,,,
"Coal Creek, Town of",15330,G,2413219,G,22006,G,,M,CO0122250,G,,N,CoalCrk,C,Municipality,,x,,x,Fremont,1,,38.362117,-105.142176,G,https://www.colorado.gov/coalcreekco,G,,,Not in the original BNDSS list
Coalby Domestic Water Company,,N,,N,,N,CoalbyDWC,G,CO0115185,G,19871253860,G,CoalbyDWC,G,Company,,x,,x,Pitkin,1,,38.901649,-107.926454,g1,,x,,,Not in the Covered Entities database
"Cokedale, Town of",15550,G,2413221,G,36004,G,,M,CO0136185,G,,N,Cokedale,C,Municipality,,x,,x,Las Animas,1,,37.144223,-104.621590,G,,N,,,Not in the original BNDSS list
"Collbran, Town of",15605,G,2413226,G,39011,G,Collbran,G,CO0139185,G,,N,Collbran,G,Municipality,,x,,x,Mesa,1,,39.239678,-107.964516,G,https://www.colorado.gov/townofcollbran,G,,,
Colorado Centre Metropolitan District,,N,,N,21057,G,COCntrMD,G,CO0121140,G,,N,COCntrMD,G,Metropolitan District,,x,,x,El Paso,1,,38.760451,-104.651522,G,,x,,,Not in the Covered Entities database
Colorado City Metropolitan District,,N,,N,51007,G,ColoradoCityMD,G,CO0151200,G,,N,ColoradoCityMD,G,Metropolitan District,,x,,x,Pueblo,1,,37.937743,-104.845927,G,https://www.colorado.gov/coloradocitymetro,G,,,
Colorado River Water Conservation District,,N,,N,64046,G,RiverDistrict,G,,N,,N,RiverDistrict,G,Water Conservation District,,x,,x,"Delta, Eagle, Garfield, Grand, Gunnison, Hinsdale, Mesa, Moffat, Montrose, Ouray, Pitkin, Rio Blanco, Routt, Saguache, Summit",15,,39.578287,-107.581068,G,www.crwcd.org/,G,,,Not in the Covered Entities database
Colorado Springs Utilities,16000,G,2410198,G,21015,G,CSU,G,CO0121150,G,,N,CSU,G,Municipality,,x,,x,El Paso,1,,38.867374,-104.760565,G,https://www.csu.org/Pages/default.aspx,G,,,
"Columbine Valley, Town of",16385,G,2413232,G,03029,G,,M,,M,,N,ColumbineVly,C,Municipality,,x,,x,Arapahoe,1,Metro,39.599294,-105.035295,G,http://www.columbinevalley.org/,G,,,Not in the original BNDSS list
Columbine Water and Sanitation District,,N,,N,03030,G,ColumbineWSD,G,CO0103185,G,,N,ColumbineWSD,G,Water and Sanitation District,,x,,x,Arapahoe,1,Metro,39.602824,-105.038575,G,https://www.colorado.gov/columbinewsd,G,None,,Not in the Covered Entities database
"Commerce City, City of",16495,G,2410212,G,01005,G,,M,,M,,N,CommerceCity,C,Municipality,,x,,x,Adams,1,Metro,39.863975,-104.843441,G,http://www.c3gov.com/,G,None,,Not in the original BNDSS list
Consolidated Mutual Water Company,,N,,N,,N,ConMutualWS,G,CO0130021,G,,N,ConMutualWS,G,Company,,x,,x,Jefferson,1,Metro,39.754825,-105.141023,g1,http://www.cmwc.net/,G,,,
Copper Mountain Consolidated Metropolitan District,,N,,N,59039,G,CopperMtConsMD,G,CO0159030,G,,N,CopperMtConsMD,G,Metropolitan District,,x,,x,Summit,1,,39.500036,-106.154056,G,,x,,,
Cordillera Metropolitan District,,N,,N,65210,G,CordilleraMD,G,CO0119185,G,,N,CordilleraMD,G,Metropolitan District,,x,,x,Eagle,1,,39.625326,-106.671168,G,,x,,,Not in the Covered Entities database
"Cortez, City of",17375,G,2410236,G,42004,G,Cortez,G,CO0142200,G,,N,Cortez,G,Municipality,,x,,x,Montezuma,1,,37.350367,-108.576640,G,http://www.cityofcortez.com/,G,,,
Cottonwood Water and Sanitation District,,N,,N,18006,G,CottonwoodWSD,G,CO0118020,G,,N,CottonwoodWSD,G,Water and Sanitation District,,x,,x,Douglas,1,Metro,39.555636,-104.788810,G,www.cottonwoodwater.org,G,,,
"Craig Public Works Department, City of",17760,G,2410255,G,41004,G,Craig,G,CO0141188,G,,N,Craig,G,Municipality,,x,,x,Moffat,1,,40.516988,-107.555660,G,http://www.ci.craig.co.us/,G,,,
"Crawford, Town of",17925,G,2412382,G,15005,G,Crawford,G,CO0115188,G,,N,Crawford,G,Municipality,,x,,x,Delta,1,,38.705057,-107.609676,G,https://www.colorado.gov/crawford,G,,,
"Creede, Town of",14765,G,2412384,G,40001,G,Creede,G,CO0140500,G,,N,Creede,G,Municipality,,x,,x,Mineral,1,,37.845032,-106.924122,G,http://www.creedetownhall.com/,G,,,
Crested Butte South Metropolitan District,,N,,N,26002,G,CrestedButteSMD,G,CO0126189,G,,N,CrestedButteSMD,G,Metropolitan District,,x,,x,Gunnison,1,,38.815213,-106.884845,G,,x,,,
"Crested Butte, Town of",18310,G,2412385,G,26004,G,CrestedButte,G,CO0126188,G,,N,CrestedButte,G,Municipality,,x,,x,Gunnison,1,,38.867641,-106.977269,G,http://www.townofcrestedbutte.com/,G,,,
"Crestone, Town of",18420,G,2412387,G,55004,G,Crestone,G,CO0155188,G,,N,Crestone,G,Municipality,,x,,x,Saguache,1,,37.994537,-105.696221,G,http://www.townofcrestone.org/,G,,,
Crestview Water and Sanitation District,,N,,N,01006,G,CrestviewWSD,G,CO0101040,G,,N,CrestviewWSD,G,Water and Sanitation District,,x,,x,Adams,1,Metro,39.822272,-105.020394,G,www.crestviewwater.com,G,,,
"Cripple Creek, City of",18530,G,2410265,G,60001,G,CrippleCreek,G,CO0160100,G,,N,CrippleCreek,G,Municipality,,x,,x,Teller,1,,38.746657,-105.185073,G,http://www.cityofcripplecreek.com/,G,,,
"Crook, Town of",18640,G,2412389,G,38002,G,,M,CO0138005,G,,N,Crook,C,Municipality,,x,,x,Logan,1,South Platte,40.859165,-102.801366,G,,M,,,Not in the original BNDSS list
Crowley County Water Association,,N,,N,,N,CrowleyCoWA,G,CO0113100,G,19871146560,G,CrowleyCoWA,G,County government,,x,,x,Crowley,1,,38.218061,-103.756061,g1,,x,,,Not in the Covered Entities database
Crowley County Water System,,N,,N,,N,CrowleyCountyWS,G,CO0113200,G,,N,CrowleyCountyWS,G,County government,,x,,x,Crowley,1,,38.218061,-103.756061,g1,,x,,,Not in the Covered Entities database
"Crowley, Town of",18750,G,2412394,G,13002,G,Crowley,G,CO0113300,G,,N,Crowley,G,Municipality,,x,,x,Crowley,1,,38.193506,-103.859743,G,,M,,,
Cucharas Sanitation and Water District,,N,,N,28001,G,CucharasWSD,G,CO0128100,G,,N,CucharasWSD,G,Water and Sanitation District,,x,,x,Huerfano,1,,37.362173,-105.103430,G,www.cuchara.org,G,,,
"Dacono, City of",19080,G,2410283,G,62007,G,Dacono,G,CO0162200,G,,N,Dacono,G,Municipality,,x,,x,Weld,1,South Platte,40.062017,-104.948282,G,http://www.ci.dacono.co.us/,G,http://www.ci.dacono.co.us/DocumentCenter/Home/View/621,,
"De Beque, Town of",19355,G,2412412,G,39012,G,,M,CO0139205,G,,N,DeBeque,C,Municipality,,x,,x,Mesa,1,,39.310184,-108.204869,G,http://debeque.org/,G,,,Not in the original BNDSS list
