"OWF_ID","WaterProviderName","County"
LookoutMtnWD,Lookout Mountain Water District,Clear Creek
LookoutMtnWD,Lookout Mountain Water District,Jefferson
MidVlyMD,Mid Valley Metropolitan District,Eagle
MidVlyMD,Mid Valley Metropolitan District,Garfield
MCQWD,Morgan County Quality Water District,Morgan
MCQWD,Morgan County Quality Water District,Washington
MtnWSD,Mountain Water and Sanitation District,Clear Creek
MtnWSD,Mountain Water and Sanitation District,Jefferson
MtnWSD,Mountain Water and Sanitation District,Park
NPecosWSD,North Pecos Water and Sanitation District,Adams
NPecosWSD,North Pecos Water and Sanitation District,Denver
NWashingtonStreetWSD,North Washington Street Water and Sanitation District,Adams
NWashingtonStreetWSD,North Washington Street Water and Sanitation District,Denver
NWCWD,North Weld County Water District,Larimer
NWCWD,North Weld County Water District,Weld
NCWCD,Northern Colorado Water Conservancy District,Boulder
NCWCD,Northern Colorado Water Conservancy District,Broomfield
NCWCD,Northern Colorado Water Conservancy District,Larimer
NCWCD,Northern Colorado Water Conservancy District,Logan
NCWCD,Northern Colorado Water Conservancy District,Morgan
NCWCD,Northern Colorado Water Conservancy District,Sedgwick
NCWCD,Northern Colorado Water Conservancy District,Washington
NCWCD,Northern Colorado Water Conservancy District,Weld
Northglenn,"Northglenn, City of",Adams
Northglenn,"Northglenn, City of",Weld
PlatteCanyonWSD,Platte Canyon Water and Sanitation District,Arapahoe
PlatteCanyonWSD,Platte Canyon Water and Sanitation District,Jefferson
RoxboroughWSD,Roxborough Water and Sanitation District,Douglas
RoxboroughWSD,Roxborough Water and Sanitation District,Jefferson
SandCreekMD,Sand Creek Metropolitan District,Adams
SandCreekMD,Sand Creek Metropolitan District,Denver
SheridanSD2,Sheridan Sanitation District 2,Arapahoe
SheridanSD2,Sheridan Sanitation District 2,Denver
SECWCD,Southeastern Colorado Water Conservancy District,Bent
SECWCD,Southeastern Colorado Water Conservancy District,Chaffee
SECWCD,Southeastern Colorado Water Conservancy District,Crowley
SECWCD,Southeastern Colorado Water Conservancy District,El Paso
SECWCD,Southeastern Colorado Water Conservancy District,Fremont
SECWCD,Southeastern Colorado Water Conservancy District,Kiowa
SECWCD,Southeastern Colorado Water Conservancy District,Otero
SECWCD,Southeastern Colorado Water Conservancy District,Prowers
SECWCD,Southeastern Colorado Water Conservancy District,Pueblo
SouthgateWD,Southgate Water and Sanitation District,Arapahoe
SouthgateWD,Southgate Water and Sanitation District,Denver
SouthgateWD,Southgate Water and Sanitation District,Douglas
SouthwestMetro,Southwest Metropolitan Water and Sanitation District,Arapahoe
SouthwestMetro,Southwest Metropolitan Water and Sanitation District,Douglas
SouthwestMetro,Southwest Metropolitan Water and Sanitation District,Jefferson
Superior,"Superior, Town of",Boulder
Superior,"Superior, Town of",Jefferson
Thornton,"Thornton, City of",Adams
Thornton,"Thornton, City of",Weld
Tri-County,Tri-County Water Conservation District,Delta
Tri-County,Tri-County Water Conservation District,Montrose
Tri-County,Tri-County Water Conservation District,Ouray
UAWCD,Upper Arkansas Water Conservancy District,Chaffee
UAWCD,Upper Arkansas Water Conservancy District,Custer
UAWCD,Upper Arkansas Water Conservancy District,El Paso
UAWCD,Upper Arkansas Water Conservancy District,Fremont
UAWCD,Upper Arkansas Water Conservancy District,Saguache
UGRWCD,Upper Gunnison River Water Conservancy District,Gunnison
UGRWCD,Upper Gunnison River Water Conservancy District,Hinsdale
UGRWCD,Upper Gunnison River Water Conservancy District,Saguache
UpperSPlatteWCD,Upper South Platte Water Conservancy,Clear Creek
UpperSPlatteWCD,Upper South Platte Water Conservancy,Douglas
UpperSPlatteWCD,Upper South Platte Water Conservancy,Jefferson
UpperSPlatteWCD,Upper South Platte Water Conservancy,Park
UpperSPlatteWCD,Upper South Platte Water Conservancy,Teller
UpYampaWCD,Upper Yampa Water Conservancy District,Moffat
UpYampaWCD,Upper Yampa Water Conservancy District,Routt
Westminster,"Westminster, City of",Adams
Westminster,"Westminster, City of",Jefferson
Windsor,"Windsor, Town of",Larimer
Windsor,"Windsor, Town of",Weld
