X,Y,source,url,alt_addres,lgname,lgtypeid,lgstatusid,prev_name,mail_addre,mail_city,lgid,mail_state,mail_zip,abbrev_nam
-104.672624692251,39.7105650058219,Arapahoe Public OIT GIS Share 3-27-15,,"c/o White Bear Ankele, P.C.",Powhaton Road Metropolitan District No. 3,6,1,Sand Creek Ranch Metropolitan District No. 3,"2154 E. Commons Ave., Suite 2000",Centennial,65423,CO,80122,Powhaton Road Metropolitan District #3
-104.822905441333,39.7286147143334,Arapahoe Public OIT GIS Share 3-27-15,,"c/o Clifton Larson Allen, LLP",Tollgate Creek Commons Metropolitan District No. 1,6,1,,"8390 East Crescent Parkway, Suite 500",Greenwood Village,65796,CO,80111,Tollgate Creek Commons Metro. Dist. #1
-104.822998913787,39.728653788266,Arapahoe Public OIT GIS Share 3-27-15,,"c/o Clifton Larson Allen, LLP",Tollgate Creek Commons Metropolitan District No. 2,6,1,,"8390 East Crescent Parkway, Suite 500",Greenwood Village,65797,CO,80111,Tollgate Creek Commons Metro. Dist. #2
-104.736793241115,39.5896485770468,Arapahoe Public OIT GIS Share 3-27-15,,"c/o White Bear Ankele, P.C.",Saddle Rock South Metropolitan District No. 2,6,1,,"2154 E. Commons Ave., Suite 2000",Centennial,03137,CO,80122,Saddle Rock South Metro. District No. 2
-104.765420059221,39.5865175150549,Arapahoe Public OIT GIS Share 3-27-15,,c/o Community Resource Services,Chaparral Metropolitan District,6,1,Chaparral Water and Sanitation District,7995 E Prentice Ave Ste 103E,Greenwood Village,03012,CO,80111,Chaparral Metropolitan District
-104.7309149805,39.7259644660001,Arapahoe Public OIT GIS Share 3-27-15,,c/o McGeady Sisneros PC,Horizon Metropolitan District No. 1,6,1,,450 E 17th Ave Ste 400,Denver,65595,CO,80203-1898,Horizon Metropolitan District No. 1
-104.7312705035,39.7259634038186,Arapahoe Public OIT GIS Share 3-27-15,,c/o CliftonLarsonAllen,Horizon Metropolitan District No. 10,6,1,,8390 E Crescent Pkwy Ste 500,Greenwood Village,65604,CO,80111,Horizon Metropolitan District No. 10
-104.706538392784,39.6965807959989,Arapahoe Public OIT GIS Share 3-27-15,,c/o Miller & Associates,Waterstone Metropolitan District No. 2,6,1,,"1641 California Street, Suite 300",Denver,65734,CO,80202,Waterstone Metropolitan District No. 2
-104.706644950247,39.6965812274608,Arapahoe Public OIT GIS Share 3-27-15,,c/o Miller & Associates,Waterstone Metropolitan District No. 1,6,1,,"1641 California Street, Suite 300",Denver,65733,CO,80202,Waterstone Metropolitan District No. 1
-104.8189571995,39.7051700765001,Arapahoe Public OIT GIS Share 3-27-15,,"c/o White Bear Ankele, P.C.",Avenues Metropolitan District No. 1,6,1,,"2154 E. Commons Avenue, Suite 2000",Centennial,65768,CO,80122,Avenues Metropolitan District No. 1
-104.818886129818,39.705170004341,Arapahoe Public OIT GIS Share 3-27-15,,"c/o White Bear Ankele, P.C.",Avenues Metropolitan District No. 2,6,1,,"2154 E. Commons Avenue, Suite 2000",Centennial,65769,CO,80122,Avenues Metropolitan District No. 2
-104.818815036995,39.7051699394445,Arapahoe Public OIT GIS Share 3-27-15,,"c/o White Bear Ankele, P.C.",Avenues Metropolitan District No. 3,6,1,,"2145 E. Commons Avenue, Suite 2000",Centennial,65770,CO,80122,Avenues Metropolitan District No. 3
-104.683036849829,39.6017839413243,Arapahoe Public OIT GIS Share 3-27-15,,"c/o McGeady Sisneros, PC",Beacon Point Metropolitan District,6,1,,"450 E. 17th Avenue, Suite 400",Denver,65138,CO,80203-1898,Beacon Point Metropolitan District
-104.796674280744,39.7160499206123,Arapahoe Public OIT GIS Share 3-27-15,,c/o Special District Management,Aurora Centretech Metropolitan District,6,1,,"141 Union Boulevard, Suite 150",Lakewood,03095,CO,80228-1898,Aurora Centretech Metropolitan District
-104.710869075035,39.7328324168717,Arapahoe Public OIT GIS Share 3-27-15,,"c/o White Bear Ankele, P.C.",Aurora Crossroads Metropolitan District No. 3,6,1,,"2154 E. Commons Avenue, Suite 2000",Centennial,66005,CO,80122,Aurora Crossroads Metro. District #3
-104.710869075035,39.7328324168717,Arapahoe Public OIT GIS Share 3-27-15,,"c/o White Bear Ankele, P.C.",Aurora Crossroads Metropolitan District No. 2,6,1,,"2154 E. Commons Avenue, Suite 2000",Centennial,66004,CO,80122,Aurora Crossroads Metro. District #2
-104.710869075035,39.7328324168717,Arapahoe Public OIT GIS Share 3-27-15,,"c/o White Bear Ankele, P.C.",Aurora Crossroads Metropolitan District No. 1,6,1,,"2154 E. Commons Avenue, Suite 2000",Centennial,66003,CO,80122,Aurora Crossroads Metro. District #1
-104.825075459802,39.7219831837986,Arapahoe Public OIT GIS Share 3-27-15,,"c/o Clifton Larson Allen, LLP",Abilene Station Metropolitan District No. 2,6,1,,8390 East Crescent Pkwy Ste 500,Greenwood Village,65794,CO,80111,Abilene Station Metro. District #2
-104.927228795792,39.644041166919,Arapahoe Public OIT GIS Share 3-27-15,,"c/o Darcy Beard, C.P.A.",Cherry Hills North Metropolitan District,6,1,Cherry Hills North Water and Sanitation District,PO Box 3110,Parker,03019,CO,80134,Cherry Hills North Metropolitan District
-104.831647039813,39.6835106586259,Arapahoe Public OIT GIS Share 3-27-15,http://www.whitebearankele.com/clients/cherry-hills-city-metropolitan-district,"McGeady Sisneros, P.C.",Cherry Hills City Metropolitan District,6,1,,"450 East 17th Avenue, Suite 400",Denver,65780,CO,80203-1214,Cherry Hills City Metropolitan District
-104.876145917157,39.5690720737067,Arapahoe Public OIT GIS Share 3-27-15,,c/o Koelbel & Company,Centennial 25 Metropolitan District,6,1,,5291 East Yale Avenue,Denver,03096,CO,80220,Centennial 25 Metropolitan District
-104.147086400097,39.6823642877034,Arapahoe Public OIT GIS Share 3-27-15,,c/o Spencer Fane Britt & Browne LLP,Comanche Crossing Metropolitan District,6,1,,"1700 Lincoln Street, Suite 2000",Denver,66097,CO,80203-4538,Comanche Crossing Metropolitan District
-105.023153533292,39.6209754998689,Arapahoe Public OIT GIS Share 3-27-15,,,Centennial Downs Metropolitan District,6,1,,"950 Wadsworth Blvd, Suite 204",Lakewood,03091,CO,80215,Centennial Downs Metropolitan District
-104.723885913336,39.612866331795,Arapahoe Public OIT GIS Share 3-27-15,,c/o CliftonLaronAllen LLP,East Smoky Hill Metropolitan District No. 2,6,1,,"8390 E. Crescent Parkway, Suite 500",Greenwood Village,03131,CO,80111-2814,East Smoky Hill Metro. District No. 2
-104.933588450108,39.7062799615002,Arapahoe Public OIT GIS Share 3-27-15,,"c/o White Bear Ankele, P.C.",Riverwalk Metropolitan District No. 1,6,1,,"2154 East Commons Avenue, Suite 2000",Centennial,66395,CO,80122-1880,Riverwalk Metropolitan District No. 1
-104.935372761897,39.7063077091261,Arapahoe Public OIT GIS Share 3-27-15,,"c/o White Bear Ankele, P.C.",Riverwalk Metropolitan District No. 2,6,1,,"2154 East Commons Avenue, Suite 2000",Centennial,66396,CO,80122-1880,Riverwalk Metropolitan District No. 2
-104.821829945997,39.9289874337351,Adams Assessor Office 06-25-2015,,"c/o White Bear Ankele, P.C.",Adams Crossing Metropolitan District No. 7,6,1,,"2154 East Commons Avenue, Suite 2000",Centennial,66315,CO,80122-1880,Adams Crossing Metropolitan District #7
-104.731758023815,39.6175447620939,Arapahoe Public OIT GIS Share 3-27-15,,"c/o Seter & Vander Wall, P.C.",East Smoky Hill Metropolitan District No. 1,6,1,,"7400 East Orchard Road, Suite 3300",Greenwood Village,03130,CO,80111,East Smoky Hill Metro. District No. 1
-104.657800358537,39.6983885311428,Arapahoe Public OIT GIS Share 3-27-15,,"c/o White Bear Ankele, P.C.",Eastern Hills Metropolitan District No. 13,6,1,,"2154 E. Commons Avenue, Suite 2000",Centennial,65818,CO,80122,Eastern Hills Metropolitan Dist. No. 13
-104.935372761897,39.7063077091261,Arapahoe Public OIT GIS Share 3-27-15,,"c/o White Bear Ankele, P.C.",Riverwalk Metropolitan District No. 3,6,1,,"2154 East Commons Avenue, Suite 2000",Centennial,66397,CO,80122-1880,Riverwalk Metropolitan District No. 3
-107.343218789311,39.5530918859102,Garfield County from Tax Districts 04-15-2015,,,Glenwood Meadows Metropolitan District No. 2,6,1,,"710 E. Durant Avenue, Suite W-6",Aspen,65220,CO,81611,Glenwood Meadows Metro. District #2
-104.732280627663,39.6451529601832,Arapahoe Public OIT GIS Share 3-27-15,,c/o Spencer Fane Britt & Browne LLP,East Quincy Highlands Metropolitan District,6,1,,1700 Lincoln St Ste 2000,Denver,03161,CO,80203,East Quincy Highlands Metro. District
-104.657800358537,39.6983885311428,Arapahoe Public OIT GIS Share 3-27-15,,"c/o White Bear Ankele, P.C.",Eastern Hills Metropolitan District No. 12,6,1,,"2154 E. Commons Avenue, Suite 2000",Centennial,65817,CO,80122,Eastern Hills Metropolitan Dist. No. 12
-104.657800358537,39.6983885311428,Arapahoe Public OIT GIS Share 3-27-15,,"c/o White Bear Ankele, P.C.",Eastern Hills Metropolitan District No. 11,6,1,,"2154 E. Commons Avenue, Suite 2000",Centennial,65816,CO,80122,Eastern Hills Metropolitan Dist. No. 11
-104.657800358537,39.6983885311428,Arapahoe Public OIT GIS Share 3-27-15,,"c/o White Bear Ankele, P.C.",Eastern Hills Metropolitan District No. 8,6,1,,"2154 E. Commons Avenue, Suite 2000",Centennial,65494,CO,80122,Eastern Hills Metropolitan Dist. No. 8
-104.654803307457,39.700185172051,Arapahoe Public OIT GIS Share 3-27-15,,"c/o White Bear Ankele, P.C.",Eastern Hills Metropolitan District No. 7,6,1,,"2154 E. Commons Avenue, Suite 2000",Centennial,65177,CO,80122,Eastern Hills Metropolitan Dist. No. 7
-104.650211947271,39.6893077799844,Arapahoe Public OIT GIS Share 3-27-15,,"c/o White Bear Ankele, P.C.",Eastern Hills Metropolitan District No. 6,6,1,,"2154 E. Commons Avenue, Suite 2000",Centennial,65176,CO,80122,Eastern Hills Metropolitan Dist. No. 6
-104.6882154067,39.7040556016203,Arapahoe Public OIT GIS Share 3-27-15,,"c/o White Bear Ankele, P.C.",Eastern Hills Metropolitan District No. 5,6,1,,"2154 E. Commons Avenue, Suite 2000",Centennial,65175,CO,80122,Eastern Hills Metropolitan Dist. No. 5
-104.87807194503,39.3427058414632,Douglas County Open Data 4-27-2015,,,Westfield Metropolitan District No. 1,6,1,,"650 South Cherry Street, Suite 435",Denver,18077,CO,80222,Westfield Metropolitan District No. 1
-104.896323500445,39.3783625170413,Douglas County Open Data 4-27-2015,,c/o Spencer Fane Britt & Browne LLP,Meadows Metropolitan District No. 7,6,1,,1700 Lincoln St Ste 2000,Denver,18062,CO,80203,Meadows Metropolitan District No. 7
-104.721067665776,39.5733455753495,Arapahoe Public OIT GIS Share 3-27-15,,"c/o White Bear Ankele, P.C.",Eagle Bend Metropolitan District No. 2,6,1,,"2154 E. Common Ave., Suite 2000",Centennial,03147,CO,80122,Eagle Bend Metropolitan District No. 2
-104.71741720867,39.5855915612568,Arapahoe Public OIT GIS Share 3-27-15,,"c/o White Bear Ankele, P.C.",Eagle Bend Metropolitan District No. 1,6,1,,"2154 E. Commons Ave., Suite 2000",Centennial,03146,CO,80122,Eagle Bend Metropolitan District No. 1
-104.66869470289,39.6892941952758,Arapahoe Public OIT GIS Share 3-27-15,,"c/o White Bear Ankele, P.C.",Eastern Hills Metropolitan District No. 4,6,1,,"2154 E. Commons Avenue, Suite 2000",Centennial,65174,CO,80122,Eastern Hills Metropolitan Dist. No. 4
-104.753521601005,40.0026036270274,Weld Tax Districts 4-28-2015,,,Silver Peaks Metropolitan District No. 1,6,1,,1700 Lincoln St Ste 2000,Denver,62118,CO,80203,Silver Peaks Metropolitan District No. 1
-104.68504873119,39.6743000218514,Arapahoe Public OIT GIS Share 3-27-15,,"c/o White Bear Ankele, P.C.",Flat Rock Metropolitan District No. 8,6,1,Eastern Hills Metropolitan District No. 3,"2154 E. Commons Ave., Suite 2000",Centennial,65173,CO,80122,Flat Rock Metropolitan District No. 8
-104.687737097462,39.6893393886723,Arapahoe Public OIT GIS Share 3-27-15,,"c/o White Bear Ankele, P.C.",Eastern Hills Metropolitan District No. 2,6,1,,"2154 E. Commons Avenue, Suite 2000",Centennial,65172,CO,80122,Eastern Hills Metropolitan Dist. No. 2
-104.657800358537,39.6983885311428,Arapahoe Public OIT GIS Share 3-27-15,,"c/o White Bear Ankele, P.C.",Eastern Hills Metropolitan District No. 1,6,1,,"2154 E. Commons Avenue, Suite 2000",Centennial,65171,CO,80122,Eastern Hills Metropolitan Dist. No. 1
-104.657800358537,39.6983885311428,Arapahoe Public OIT GIS Share 3-27-15,,"c/o White Bear Ankele, P.C.",Eastern Hills Metropolitan District No. 10,6,1,,"2154 E. Commons Avenue, Suite 2000",Centennial,65815,CO,80122,Eastern Hills Metropolitan Dist. No. 10
-104.657800358537,39.6983885311428,Arapahoe Public OIT GIS Share 3-27-15,,"c/o White Bear Ankele, P.C.",Eastern Hills Metropolitan District No. 15,6,1,,"2154 E. Commons Avenue, Suite 2000",Centennial,65820,CO,80122,Eastern Hills Metropolitan Dist. No. 15
-104.657800358537,39.6983885311428,Arapahoe Public OIT GIS Share 3-27-15,,"c/o White Bear Ankele, P.C.",Eastern Hills Metropolitan District No. 16,6,1,,"2154 E. Commons Avenue, Suite 2000",Centennial,65821,CO,80122,Eastern Hills Metropolitan Dist. No. 16
-104.657800358537,39.6983885311428,Arapahoe Public OIT GIS Share 3-27-15,,"c/o White Bear Ankele, P.C.",Eastern Hills Metropolitan District No. 17,6,1,,"2154 E. Commons Avenue, Suite 2000",Centennial,65822,CO,80122,Eastern Hills Metropolitan Dist. No. 17
-104.657800358537,39.6983885311428,Arapahoe Public OIT GIS Share 3-27-15,,"c/o White Bear Ankele, P.C.",Eastern Hills Metropolitan District No. 18,6,1,,"2154 E. Commons Avenue, Suite 2000",Centennial,65823,CO,80122,Eastern Hills Metropolitan Dist. No. 18
-104.657800358537,39.6983885311428,Arapahoe Public OIT GIS Share 3-27-15,,"c/o White Bear Ankele, P.C.",Eastern Hills Metropolitan District No. 19,6,1,,"2154 E. Commons Avenue, Suite 2000",Centennial,65824,CO,80122,Eastern Hills Metropolitan Dist. No. 19
-104.657800358537,39.6983885311428,Arapahoe Public OIT GIS Share 3-27-15,,"c/o White Bear Ankele, P.C.",Eastern Hills Metropolitan District No. 20,6,1,,"2154 E. Commons Avenue, Suite 2000",Centennial,65825,CO,80122,Eastern Hills Metropolitan Dist. No. 20
-104.657800358537,39.6983885311428,Arapahoe Public OIT GIS Share 3-27-15,,"c/o White Bear Ankele, P.C.",Eastern Hills Metropolitan District No. 9,6,1,,"2154 E. Commons Avenue, Suite 2000",Centennial,65814,CO,80122,Eastern Hills Metropolitan Dist. No. 9
-104.963302650242,39.6489462106515,Hybrid Arapahoe 3-27-15 x2 versions,,"c/o Collins Cockrel & Cole, P.C.",Country Homes Metropolitan District,6,1,,"390 Union Boulevard, Suite 400",Lakewood,03031,CO,80228-1556,Country Homes Metropolitan District
-104.821564599711,39.9289859052193,Adams Assessor Office 06-25-2015,,"c/o White Bear Ankele, P.C.",Adams Crossing Metropolitan District No. 8,6,1,,"2154 East Commons Avenue, Suite 2000",Centennial,66316,CO,80122-1880,Adams Crossing Metropolitan District #8
-104.747773469956,39.9863730680425,Adams Assessor Office 06-25-2015,,"c/o CRS of Colorado, LLC",Adams East Metropolitan District,6,1,,7995 E Prentice Ave Ste 103E,Greenwood Village,66251,CO,80111,Adams East Metropolitan District
-104.753232574164,39.8005440620168,Adams Assessor Office 06-25-2015,,c/o Spencer Fane & Grimshaw LLP,Painted Prairie Metropolitan District No. 1,6,1,,1700 Lincoln Ste Ste 3800,Denver,65545,CO,80203,Painted Prairie Metro. District #1
-104.73965092366,39.6019297049928,Arapahoe Public OIT GIS Share 3-27-15,,,East Arapahoe Metropolitan District,6,1,,PO Box 460492,Aurora,03036,CO,80046-0492,East Arapahoe Metropolitan District
